iteration,answer_type,qhd_objective,standard_objective,objective_difference,bus_state_l2_distance,branch_flow_l2_distance,combined_l2_distance,max_constraint_residual,l2_constraint_residual,active_load_supplied_percent,log_objective,log_max_constraint_residual,log_l2_constraint_residual,log_active_load_supplied_percent
7,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.0449674766386982,0.3548023990634558,0.3576406245610747,0.22,0.33029903427152413,106.66666666666667,0.160024,0.22,0.3302992697309,106.666667
7,refined,0.45504595969553496,0.609639734673282,-0.15459377497774707,0.00756762153497918,0.06146944357013714,0.06193352394720451,0.019304918899006318,0.03808386710425913,87.32233333333332,0.455046869846,0.01930671560965,0.03808364185856,87.322358
8,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.04496747666093649,0.3548023990634558,0.35764062456387075,0.22,0.33010402179592463,106.66666666666667,0.160024,0.22,0.3301043973804,106.666667
8,refined,0.465663112198375,0.609639734673282,-0.14397662247490706,0.0070510963949837685,0.05724937382513363,0.057681962204325615,0.01798167803097689,0.03546560577222071,88.19333333333333,0.465662282425,0.01798270032905,0.03546580998508,88.193303
9,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.04496747666093649,0.3548023990634558,0.35764062456387075,0.22,0.33010402179592463,106.66666666666667,0.160024,0.22,0.3301043973804,106.666667
9,refined,0.47554181744584373,0.609639734673282,-0.1340979172274383,0.006568643132177765,0.0533230795500937,0.05372613782232562,0.016749359785691753,0.03302982476835922,89.00400000000002,0.475542492706,0.01675051552526,0.03302965581394,89.004004
10,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.04496747666093649,0.3548023990634558,0.35764062456387075,0.22,0.33010402179592463,106.66666666666667,0.160024,0.22,0.3301043973804,106.666667
10,refined,0.48474809442136,0.609639734673282,-0.12489164025192201,0.006118491674219849,0.04966302070534792,0.050038500836329165,0.015597079757328214,0.030760143009934505,89.75866666666666,0.484747292708,0.0156024139079,0.03076034612492,89.75883
11,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.04496747666093649,0.3548023990634558,0.35764062456387075,0.22,0.3298129576248652,106.66666666666667,0.160024,0.22,0.3298130511032,106.666667
11,refined,0.4935501561834537,0.609639734673282,-0.11608957848982832,0.005689527232657165,0.04616539756022483,0.04651467136318132,0.014503085544162853,0.028590390859390725,90.48066666666666,0.493550868441,0.01450461134241,0.02859021456487,90.481029
12,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.04496747666093649,0.3548023990634558,0.35764062456387075,0.22,0.3298129576248652,106.66666666666667,0.160024,0.22,0.3298130511032,106.666667
12,refined,0.5017778228541538,0.609639734673282,-0.10786191181912819,0.005287133168932772,0.04289274198527579,0.04321737025967071,0.013475541572436134,0.026562511133800912,91.15533333333336,0.501778781841,0.01347751197168,0.02656227748361,91.155486
13,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.04496747666093649,0.3548023990634558,0.35764062456387075,0.22,0.3298129576248652,106.66666666666667,0.160024,0.22,0.3298130511032,106.666667
13,refined,0.5093910297055351,0.609639734673282,-0.10024870496774696,0.004915056821895997,0.039867884794516716,0.040169715228656075,0.012526281492969027,0.02468627262306932,91.78033333333336,0.509390624097,0.01252860957826,0.02468637985731,91.780102
14,coarse,0.160024,0.609639734673282,-0.44961573467328203,0.04496747666093649,0.3548023990634558,0.35764062456387075,0.22,0.3298129576248652,106.66666666666667,0.160024,0.22,0.3298130511032,106.666667
