label,method,source,start_name,plot_iteration,solver_iteration,stage,objective,l2_h,max_abs_h,load_supplied_pct
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,55,55,rho=1e+02,0.25052894753468374,0.052953400188045674,0.017808397985148716,82.34875208045565
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,56,56,rho=1e+02,0.2505251627575899,0.052954113619171427,0.017811371075749205,82.34809087499136
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,57,57,rho=1e+02,0.2505185397347645,0.05295536232537881,0.01781504372249121,82.34714923193673
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,58,58,rho=1e+02,0.2505146632752371,0.05295609278461714,0.017816459808561114,82.34662645402578
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,59,59,rho=1e+02,0.25052048424814793,0.05295499030274764,0.017817521202551923,82.34612915664356
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,60,60,rho=1e+02,0.2505212595726862,0.052954843792395206,0.017816566326520455,82.34644303113461
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,61,61,rho=1e+02,0.25052020078193804,0.05295504297039204,0.017818083933176576,82.3469660461326
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,62,62,rho=1e+02,0.2505135214727684,0.05295629962521477,0.017823041198282652,82.34525668211737
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,63,63,rho=1e+02,0.25051878581894405,0.05295530356611377,0.01782076027274143,82.34712298661114
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,64,64,rho=1e+02,0.25050939465655025,0.05295707224163412,0.017836168101203587,82.34502410451624
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,65,65,rho=1e+02,0.25050112298568183,0.052958628937483224,0.01783834655489508,82.34226026927058
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,66,66,rho=1e+02,0.25047944361699004,0.05296270360924451,0.017844168236470337,82.34029774855365
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,67,67,rho=1e+02,0.250499314683208,0.05295892621503322,0.017816581293976064,82.34730278642336
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,68,68,rho=1e+02,0.25044137294190805,0.05296980755179489,0.017842549981795963,82.3423984172509
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,69,69,rho=1e+02,0.25042435426752185,0.052972998258884275,0.017846349945407902,82.34091273108851
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,70,70,rho=1e+02,0.25040070433350586,0.052977442697689926,0.017845581522723752,82.33927902109502
Truncated Newton,Truncated Newton (TNC penalty),TNC rerun from the exact same initial center used by QHD-SB,qhdsb_initial_center,71,71,rho=1e+02,0.2504248996365848,0.05297286264812042,0.01783072906889327,82.34170378392457
